source_file,nhanes_var,units,name_status,transformation,derived_var,role,inclusion,justification
P_INS,LBXIN,uU/mL,VERIFIED,HOMA-IR = ins*glu/405; log,log_homa_ir,outcome_secondary,include,Secondary outcome. Mechanistic insulin-resistance proxy; fasting subsample only.
P_GHB,LBXGH,percent,EXPECTED,continuous,hba1c_pct,outcome_secondary,include,Secondary outcome. Integrated glycaemia; not fasting-dependent.
P_HSCRP,LBXHSCRP,mg/L,EXPECTED,natural log,log_hscrp,outcome_secondary,include,Secondary outcome. Systemic inflammation axis; expected to load on a distinct PCA component.
P_BIOPRO,LBXSATSI,U/L,EXPECTED,natural log,log_alt,outcome_secondary,include,Secondary outcome. Hepatic steatosis proxy.
P_SMQ,SMQ020,code,EXPECTED,factor never/former/current,smoking3,covariate,include,DAG confounder via latent health-behaviour orientation; independent arrow to outcome.
P_SMQ,SMQ040,code,EXPECTED,factor never/former/current,smoking3,covariate,include,Combined with SMQ020 to derive 3-level smoking status.
P_ALQ,ALQ121,code,EXPECTED,drinks/day category,alcohol_cat,covariate,include,DAG confounder; also independent effect on triglycerides and blood pressure.
P_ALQ,ALQ130,drinks/day,EXPECTED,continuous,alcohol_dpd,covariate,include,Quantity component of alcohol exposure.
P_PAQ,PAQ605:PAD675,minutes,VERIFIED,MET-min/week (GPAQ scoring),met_min_wk,covariate,include,DAG confounder; also an independent cause of adiposity and of the outcome. Amendment 1: range corrected from PAQ605:PAQ680 (PAQ680 does not exist).
P_PAQ,PAD680,minutes,VERIFIED,none,sedentary_min,covariate,exclude_primary,Sedentary time is a distinct construct from physical activity and was NOT pre-specified in the frozen covariate set. Present in the data; deliberately unused. Recorded here so its exclusion is a documented decision rather than an oversight.
P_DSQTOT,DSDCOUNT,count,EXPECTED,binary any/none,supplement_any,covariate,include,DAG confounder via health-behaviour orientation; direct effect on several biomarkers.
P_DIQ,DIQ010,code,EXPECTED,binary,diabetes_dx,exclusion_sensitivity,exclude_primary,DAG: descendant of the outcome that also causes the exposure (reverse causation). Conditioning would open bias. Handled by exclusion sensitivity ONLY.
P_MCQ,MCQ160B:MCQ160F,code,EXPECTED,binary any CVD,cvd_dx,exclusion_sensitivity,exclude_primary,Same DAG logic as diabetes_dx.
P_BPQ,BPQ040A,code,EXPECTED,binary,bp_med,measurement_adjust,include,Descendant of outcome affecting MEASURED BP. No unbiased option exists; three pre-specified handlings all reported.
P_BPQ,BPQ050A,code,EXPECTED,binary,bp_med,measurement_adjust,include,Currently taking antihypertensive medication.
P_BPQ,BPQ090D,code,EXPECTED,binary,lipid_med,measurement_adjust,include,Told to take cholesterol-lowering medication.
P_BPQ,BPQ100D,code,EXPECTED,binary,lipid_med,measurement_adjust,include,Currently taking cholesterol-lowering medication.
P_RXQ_RX,RXDDRGID,code,EXPECTED,map to ATC-like classes,med_class,measurement_adjust,include,Prescription-level source; cross-checks the self-reported BPQ/DIQ medication flags.
P_WHQ,WHQ070,code,EXPECTED,binary,tried_lose_wt,exclusion_sensitivity,exclude_primary,Recent intentional weight loss changes both diet and biomarkers; exclusion sensitivity only.
FPED_1720.xls,food_code,code,TO_VERIFY,none,fped_food_code,key,include,Join key to DR1IFDCD/DR2IFDCD. Exact column name to be confirmed on first read.
FPED_1720.xls,F_TOTAL:PF_TOTAL,equivalents/100g,TO_VERIFY,scale by grams/100 then sum to person-day,fped_*,exposure,include,Source of 15 of the 18 PDI food groups.
WWEIA_crosswalk,food_code -> category,code,TO_VERIFY,map to PDI groups,wweia_cat,exposure,include,REQUIRED for SSB, tea/coffee, and sweets/desserts. P_DR1IFF contains no WWEIA category variable (DR1CCMTX is combination-food type, not a category).
